time,target,value
DEF,1,StationToStationAgent/0/implFeed
DEF,2,StationToStationAgent/0/distanceToTarget
DEF,3,StationToStationAgent/0/force
DEF,4,StationToStationAgent/0/segmentId
DEF,5,StationToStationAgent/0/velocity
DEF,6,StationToStationAgent/0/velocity(target)
DEF,7,StationToStationAgent/0/debug
0,1,"Set goal: station CERN Meyrin, 47 m away"
0,2,34.823994
0,3,487535.9
0,4,1
0,6,2.4376795
0,5,0
0,7,0.50067097
1,2,34.580223
1,3,386615.94
1,4,1
1,6,2.4206157
1,5,0.4875359
1,7,0.49074572
2,2,33.89938
2,3,299760.94
2,4,1
2,6,2.3729565
2,5,0.8741518
2,7,0.46302453
3,2,32.875347
3,3,225472.31
3,4,1
3,6,2.3012743
3,5,1.1739128
3,7,0.4213301
4,2,31.5887
4,3,162364.8
4,4,1
4,6,2.211209
4,5,1.3993851
4,7,0.368943
5,2,30.108131
5,3,109163.86
5,4,1
5,6,2.1075692
5,5,1.5617499
5,7,0.30866033
6,2,28.4918
6,3,64702.438
6,4,1
6,6,1.994426
6,5,1.6709138
6,7,0.24284989
7,2,26.788534
7,3,27916.24
7,4,1
7,6,1.8751974
7,5,1.7356162
7,7,0.17349988
8,2,25.038961
8,3,-2161.026
8,4,1
8,6,1.7527273
8,5,1.7635324
8,7,0.10226435
9,2,23.27651
9,3,-26403.14
9,4,1
9,6,1.6293557
9,5,1.7613714
9,7,0.0305045
10,2,33.79207
10,3,126095.37
10,4,32
10,6,2.365445
10,5,1.7349681
10,7,0.028210279
11,2,31.994053
11,3,75704.07
11,4,32
11,6,2.2395837
11,5,1.8610634
11,7,0.07898528
12,2,30.095137
12,3,33978.46
12,4,32
12,6,2.1066597
12,5,1.9367673
12,7,0.13260964
13,2,28.14138
13,3,-169.80171
13,4,32
13,6,1.9698967
13,5,1.9707457
13,7,0.18778268
14,2,26.17072
14,3,-27725.1
14,4,32
14,6,1.8319503
14,5,1.9705758
14,7,0.24343307
15,2,24.214006
15,3,-49574.016
15,4,32
15,6,1.6949805
15,5,1.9428506
15,7,0.2986896
